X,Y,Theta,Setpoint VD,Setpoint VE,VD,VE,tempo
0.00000,1.40000,0.00000,0.00000,0.00000,0.00000,0.00000,4500.00000
0.00000,1.40000,0.00000,0.00000,0.00000,2.33000,2.33000,-3144.00000
0.00000,1.40000,0.00000,0.00000,0.00000,2.33000,2.33000,-10836.00000
0.00000,1.40000,0.00000,0.00000,0.00000,2.33000,2.33000,-18572.00000
0.00000,1.40000,0.00000,0.00000,0.00000,2.33000,2.33000,-26316.00000
0.00000,1.40000,0.00000,0.03000,0.00000,2.33000,2.33000,31488.00000
0.00000,1.40000,0.00000,0.03000,0.00000,2.33000,2.33000,23636.00000
0.00000,1.40000,0.01000,0.45000,0.00000,2.33000,2.33000,15696.00000
0.00000,1.40000,0.02000,0.47000,0.00000,2.29000,2.31000,7704.00000
0.00000,1.40000,0.02000,0.17000,0.03000,2.24000,2.29000,-184.00000
0.00000,1.40000,0.02000,0.00000,0.00000,2.23000,2.28000,-8088.00000
0.00000,1.40000,0.02000,0.08000,0.00000,2.23000,2.28000,-15824.00000
0.00000,1.40000,0.03000,0.25000,0.00000,2.22000,2.28000,-23768.00000
0.00000,1.40000,0.02000,0.61000,1.06000,2.19000,2.26000,-31692.00000
0.01000,1.40000,0.02000,1.45000,1.62000,2.24000,2.29000,25740.00000
0.01000,1.40000,0.02000,2.23000,2.12000,2.26000,2.30000,17640.00000
0.02000,1.40000,0.02000,2.93000,2.59000,2.24000,2.29000,9464.00000
0.03000,1.40000,0.03000,2.87000,2.76000,2.21000,2.27000,1364.00000
0.03000,1.40000,0.02000,2.65000,2.76000,2.20000,2.27000,-6760.00000
0.04000,1.40000,0.02000,2.37000,2.65000,2.21000,2.27000,-14904.00000
0.04000,1.40000,0.02000,2.37000,2.51000,2.24000,2.29000,-23060.00000
0.05000,1.40000,0.01000,2.09000,2.23000,2.25000,2.30000,-31188.00000
0.05000,1.40000,0.02000,2.09000,1.98000,2.26000,2.30000,26204.00000
0.06000,1.40000,0.02000,2.17000,1.92000,2.25000,2.30000,18092.00000
0.06000,1.40000,0.02000,1.98000,2.01000,2.23000,2.28000,9960.00000
0.07000,1.40000,0.02000,2.17000,2.12000,2.23000,2.29000,1892.00000
0.07000,1.40000,0.02000,1.98000,2.17000,2.22000,2.28000,-6200.00000
0.08000,1.40000,0.02000,2.23000,2.20000,2.24000,2.29000,-14296.00000
0.08000,1.40000,0.02000,2.29000,2.34000,2.24000,2.29000,-22448.00000
0.09000,1.40000,0.02000,2.20000,2.31000,2.25000,2.29000,-30584.00000
0.10000,1.40000,0.01000,2.31000,2.42000,2.26000,2.30000,26788.00000
0.10000,1.40000,0.01000,2.23000,2.40000,2.27000,2.30000,18660.00000
0.11000,1.40000,0.01000,2.37000,2.31000,2.28000,2.31000,10508.00000
0.11000,1.40000,0.01000,2.51000,2.37000,2.28000,2.31000,2348.00000
0.12000,1.40000,0.01000,2.40000,2.54000,2.26000,2.30000,-5764.00000
0.12000,1.40000,0.01000,2.45000,2.45000,2.28000,2.31000,-13876.00000
0.13000,1.40000,0.01000,2.48000,2.40000,2.28000,2.31000,-22012.00000
0.14000,1.40000,0.01000,2.03000,2.40000,2.27000,2.31000,-30148.00000
0.14000,1.40000,0.00000,1.90000,2.17000,2.30000,2.32000,27208.00000
0.15000,1.40000,-0.01000,1.92000,2.20000,2.32000,2.33000,19104.00000
0.15000,1.40000,-0.01000,2.12000,2.23000,2.32000,2.31000,10976.00000
0.16000,1.40000,-0.00000,2.37000,2.20000,2.32000,2.30000,2836.00000
0.16000,1.40000,-0.00000,2.56000,2.40000,2.33000,2.32000,-5276.00000
0.17000,1.40000,0.00000,2.59000,2.29000,2.33000,2.33000,-13388.00000
0.17000,1.40000,0.01000,2.51000,2.31000,2.30000,2.32000,-21564.00000
0.18000,1.40000,0.01000,2.23000,2.40000,2.29000,2.31000,-29692.00000
0.18000,1.40000,0.01000,2.26000,2.15000,2.30000,2.32000,27676.00000
0.19000,1.40000,0.01000,2.31000,2.06000,2.29000,2.32000,19540.00000
0.19000,1.40000,0.01000,2.12000,2.06000,2.27000,2.30000,11388.00000
0.20000,1.40000,0.02000,2.37000,2.20000,2.26000,2.30000,3260.00000
0.21000,1.40000,0.02000,2.31000,2.31000,2.25000,2.29000,-4832.00000
0.21000,1.40000,0.02000,2.45000,2.29000,2.25000,2.29000,-12924.00000
0.22000,1.40000,0.02000,2.54000,2.37000,2.23000,2.28000,-21088.00000
0.22000,1.40000,0.02000,2.31000,2.37000,2.21000,2.27000,-29236.00000
0.23000,1.40000,0.02000,2.29000,2.34000,2.21000,2.28000,28124.00000
0.23000,1.40000,0.02000,2.42000,2.31000,2.22000,2.28000,20004.00000
0.24000,1.40000,0.02000,2.12000,2.20000,2.21000,2.27000,11860.00000
0.24000,1.40000,0.02000,2.06000,2.23000,2.22000,2.28000,3712.00000
0.25000,1.40000,0.01000,2.12000,2.45000,2.23000,2.29000,-4388.00000
0.25000,1.40000,0.01000,2.03000,2.37000,2.27000,2.30000,-12496.00000
0.26000,1.40000,0.01000,2.31000,2.29000,2.30000,2.32000,-20652.00000
0.27000,1.40000,0.00000,2.17000,2.26000,2.30000,2.32000,-28812.00000
0.27000,1.40000,0.01000,2.29000,2.12000,2.30000,2.32000,28560.00000
0.28000,1.40000,0.01000,2.37000,2.12000,2.29000,2.31000,20416.00000
0.28000,1.40000,0.01000,2.20000,2.23000,2.26000,2.30000,12264.00000
0.29000,1.40000,0.01000,2.20000,2.12000,2.27000,2.30000,4108.00000
0.29000,1.40000,0.01000,2.09000,2.34000,2.26000,2.30000,-3976.00000
0.30000,1.40000,0.01000,2.03000,2.17000,2.28000,2.31000,-12052.00000
0.30000,1.40000,0.00000,2.17000,2.31000,2.29000,2.32000,-20188.00000
0.31000,1.40000,-0.00000,1.98000,2.37000,2.31000,2.32000,-28344.00000
0.31000,1.40000,-0.00000,2.45000,2.34000,2.33000,2.32000,29008.00000
0.32000,1.40000,-0.00000,2.56000,2.51000,2.33000,2.33000,20840.00000
0.33000,1.40000,-0.00000,2.68000,2.76000,2.32000,2.33000,12692.00000
0.33000,1.40000,0.00000,2.81000,2.62000,2.33000,2.33000,4516.00000
0.34000,1.40000,0.00000,2.70000,2.56000,2.32000,2.33000,-3608.00000
0.34000,1.40000,-0.00000,2.26000,2.59000,2.30000,2.32000,-11716.00000
0.35000,1.40000,-0.01000,1.87000,2.37000,2.33000,2.33000,-19880.00000
0.35000,1.40000,-0.02000,1.92000,2.15000,2.31000,2.29000,-28016.00000
0.36000,1.40000,-0.02000,2.20000,2.26000,2.30000,2.26000,29360.00000
0.36000,1.40000,-0.01000,2.31000,2.09000,2.30000,2.26000,21232.00000
0.37000,1.40000,-0.01000,2.45000,2.26000,2.31000,2.28000,13056.00000
0.38000,1.40000,-0.01000,2.51000,2.34000,2.32000,2.30000,4912.00000
0.38000,1.40000,-0.00000,2.48000,2.17000,2.32000,2.31000,-3204.00000
0.39000,1.40000,-0.00000,2.34000,2.37000,2.32000,2.33000,-11308.00000
0.39000,1.40000,0.00000,2.34000,2.23000,2.33000,2.33000,-19464.00000
0.40000,1.40000,0.01000,2.42000,2.12000,2.32000,2.33000,-27608.00000
0.40000,1.40000,0.01000,2.20000,2.29000,2.29000,2.31000,29760.00000
0.41000,1.40000,0.01000,2.48000,2.29000,2.30000,2.32000,21604.00000
0.41000,1.40000,0.01000,2.54000,2.34000,2.28000,2.31000,13468.00000
0.42000,1.40000,0.01000,2.37000,2.48000,2.26000,2.30000,5316.00000
0.43000,1.40000,0.01000,2.51000,2.31000,2.27000,2.31000,-2804.00000
0.43000,1.40000,0.02000,2.45000,2.34000,2.25000,2.30000,-10908.00000
0.44000,1.40000,0.02000,2.31000,2.34000,2.24000,2.29000,-19080.00000
0.44000,1.40000,0.02000,2.23000,2.26000,2.24000,2.29000,-27256.00000
0.45000,1.40000,0.01000,2.17000,2.34000,2.24000,2.29000,30128.00000
0.45000,1.40000,0.00000,1.95000,2.34000,2.26000,2.30000,21984.00000
0.46000,1.40000,-0.00000,2.17000,2.45000,2.30000,2.32000,13828.00000
0.46000,1.40000,-0.01000,2.15000,2.45000,2.32000,2.33000,5712.00000
0.47000,1.40000,-0.01000,2.40000,2.37000,2.32000,2.31000,-2420.00000
0.48000,1.40000,0.00000,2.48000,2.06000,2.33000,2.32000,-10512.00000
0.48000,1.40000,0.01000,2.34000,2.15000,2.31000,2.32000,-18680.00000
0.49000,1.40000,0.01000,2.28000,2.15000,2.29000,2.32000,-26828.00000
0.49000,1.40000,0.01000,2.15000,2.29000,2.28000,2.31000,30528.00000
0.50000,1.40000,0.00000,2.06000,2.34000,2.29000,2.32000,22384.00000
0.50000,1.40000,0.00000,2.31000,2.26000,2.32000,2.33000,14240.00000
0.51000,1.40000,-0.00000,2.26000,2.40000,2.31000,2.32000,6080.00000
0.51000,1.40000,-0.00000,2.29000,2.43000,2.32000,2.33000,-2052.00000
0.52000,1.40000,0.00000,2.51000,2.29000,2.33000,2.33000,-10164.00000
0.52000,1.40000,-0.00000,2.45000,2.51000,2.32000,2.33000,-18324.00000
0.53000,1.40000,-0.00000,2.40000,2.48000,2.32000,2.33000,-26500.00000
0.54000,1.40000,-0.00000,2.42000,2.48000,2.33000,2.33000,30856.00000
0.54000,1.40000,-0.00000,2.42000,2.51000,2.33000,2.33000,22672.00000
0.55000,1.40000,-0.01000,2.34000,2.40000,2.33000,2.32000,14512.00000
0.55000,1.40000,-0.01000,2.20000,2.26000,2.33000,2.32000,6348.00000
0.56000,1.40000,-0.02000,1.87000,2.40000,2.32000,2.31000,-1768.00000
0.56000,1.40000,-0.02000,2.12000,2.29000,2.30000,2.26000,-9860.00000
0.57000,1.40000,-0.02000,2.17000,2.34000,2.30000,2.25000,-17992.00000
0.57000,1.40000,-0.02000,2.45000,2.40000,2.29000,2.23000,-26152.00000
0.58000,1.40000,-0.02000,2.45000,2.23000,2.29000,2.24000,31228.00000
0.59000,1.40000,-0.02000,2.34000,2.20000,2.30000,2.26000,23044.00000
0.59000,1.40000,-0.01000,2.15000,2.06000,2.31000,2.27000,14920.00000
0.60000,1.40000,-0.01000,2.03000,1.95000,2.31000,2.28000,6788.00000
0.60000,1.40000,-0.01000,2.12000,2.09000,2.31000,2.29000,-1328.00000
0.61000,1.40000,-0.01000,2.29000,2.01000,2.31000,2.29000,-9412.00000
0.61000,1.40000,-0.00000,2.34000,2.26000,2.32000,2.31000,-17544.00000
0.62000,1.40000,-0.00000,2.54000,2.37000,2.33000,2.32000,-25696.00000
0.62000,1.40000,0.00000,2.70000,2.48000,2.33000,2.33000,31644.00000
0.63000,1.40000,0.00000,2.59000,2.54000,2.31000,2.32000,23516.00000
0.64000,1.40000,0.01000,2.59000,2.51000,2.30000,2.32000,15340.00000
0.64000,1.40000,0.01000,2.56000,2.40000,2.30000,2.32000,7160.00000
0.65000,1.40000,0.01000,2.37000,2.40000,2.28000,2.31000,-928.00000
0.65000,1.40000,0.00000,2.12000,2.29000,2.28000,2.31000,-9020.00000
0.66000,1.40000,0.00000,2.20000,2.37000,2.30000,2.32000,-17156.00000
0.66000,1.40000,-0.01000,2.03000,2.65000,2.31000,2.32000,-25264.00000
0.67000,1.40000,-0.02000,2.23000,2.59000,2.32000,2.30000,32132.00000
0.67000,1.40000,-0.02000,2.34000,2.29000,2.30000,2.26000,23956.00000
0.68000,1.40000,-0.01000,2.40000,2.17000,2.30000,2.27000,15780.00000
0.68000,1.40000,-0.01000,2.29000,2.06000,2.31000,2.29000,7656.00000
0.69000,1.40000,-0.00000,2.23000,1.92000,2.32000,2.31000,-460.00000
0.69000,1.40000,-0.00000,2.03000,2.15000,2.33000,2.33000,-8504.00000
0.70000,1.40000,0.00000,2.23000,2.01000,2.33000,2.32000,-16592.00000
0.71000,1.40000,-0.00000,2.15000,2.29000,2.32000,2.33000,-24728.00000
0.71000,1.40000,0.00000,2.34000,2.20000,2.33000,2.33000,32628.00000
0.72000,1.40000,0.00000,2.40000,2.37000,2.32000,2.33000,24488.00000
0.72000,1.40000,-0.00000,2.31000,2.48000,2.32000,2.32000,16320.00000
0.73000,1.40000,-0.00000,2.45000,2.37000,2.33000,2.33000,8160.00000
0.73000,1.40000,0.00000,2.48000,2.45000,2.32000,2.33000,16.00000
0.74000,1.40000,-0.00000,2.37000,2.62000,2.32000,2.33000,-7980.00000
0.75000,1.40000,-0.00000,2.56000,2.45000,2.33000,2.32000,-16104.00000
0.75000,1.40000,-0.00000,2.45000,2.37000,2.33000,2.33000,-24272.00000
0.76000,1.40000,-0.00000,2.29000,2.42000,2.32000,2.33000,-32444.00000
0.76000,1.40000,-0.01000,2.09000,2.20000,2.33000,2.32000,24912.00000
0.77000,1.40000,-0.01000,1.90000,2.26000,2.32000,2.32000,16764.00000
0.77000,1.40000,-0.02000,2.20000,2.40000,2.31000,2.28000,8632.00000
0.78000,1.40000,-0.02000,2.31000,2.31000,2.30000,2.26000,520.00000
0.78000,1.40000,-0.02000,2.42000,2.37000,2.30000,2.26000,-7496.00000
0.79000,1.40000,-0.01000,2.45000,2.17000,2.31000,2.27000,-15624.00000
0.79000,1.40000,-0.00000,2.40000,2.12000,2.32000,2.30000,-23780.00000
0.80000,1.40000,-0.01000,2.12000,2.23000,2.33000,2.32000,-31928.00000
0.80000,1.40000,-0.00000,2.29000,2.03000,2.32000,2.31000,25460.00000
0.81000,1.40000,-0.00000,2.26000,2.23000,2.33000,2.33000,17292.00000
0.82000,1.40000,0.00000,2.34000,2.26000,2.33000,2.33000,9164.00000
0.82000,1.40000,0.00000,2.56000,2.34000,2.32000,2.33000,1060.00000
0.83000,1.40000,0.01000,2.65000,2.54000,2.30000,2.32000,-7016.00000
0.83000,1.40000,0.01000,2.59000,2.51000,2.29000,2.32000,-15148.00000
0.84000,1.40000,0.01000,2.68000,2.45000,2.28000,2.31000,-23324.00000
0.85000,1.40000,0.01000,2.42000,2.42000,2.26000,2.30000,-31508.00000
0.85000,1.40000,0.01000,2.23000,2.37000,2.26000,2.30000,25896.00000
0.86000,1.40000,0.01000,2.31000,2.23000,2.28000,2.31000,17740.00000
0.86000,1.40000,0.01000,2.03000,2.26000,2.27000,2.30000,9592.00000
0.87000,1.40000,0.00000,2.06000,2.31000,2.29000,2.31000,1484.00000
0.87000,1.40000,-0.00000,2.29000,2.43000,2.31000,2.32000,-6604.00000
0.88000,1.40000,-0.01000,2.20000,2.56000,2.32000,2.33000,-14708.00000
0.88000,1.40000,-0.00000,2.37000,2.23000,2.32000,2.31000,-22844.00000
0.89000,1.40000,-0.00000,2.31000,2.17000,2.33000,2.32000,-31020.00000
0.89000,1.40000,-0.00000,2.12000,2.26000,2.33000,2.33000,26380.00000
0.90000,1.40000,-0.00000,2.17000,2.03000,2.33000,2.32000,18220.00000
0.90000,1.40000,-0.00000,2.06000,2.20000,2.33000,2.33000,10112.00000
0.91000,1.40000,-0.00000,2.26000,2.20000,2.33000,2.32000,1964.00000
0.91000,1.40000,0.00000,2.31000,2.12000,2.33000,2.32000,-6136.00000
0.92000,1.40000,-0.00000,2.31000,2.43000,2.32000,2.33000,-14256.00000
0.93000,1.40000,-0.00000,2.34000,2.45000,2.33000,2.33000,-22388.00000
0.93000,1.40000,-0.01000,2.34000,2.45000,2.33000,2.32000,-30548.00000
0.94000,1.40000,-0.01000,2.42000,2.59000,2.32000,2.31000,26816.00000
0.94000,1.40000,-0.01000,2.42000,2.45000,2.32000,2.30000,18640.00000
0.95000,1.40000,-0.01000,2.48000,2.51000,2.32000,2.30000,10476.00000
0.96000,1.40000,-0.01000,2.45000,2.43000,2.32000,2.29000,2308.00000
0.96000,1.40000,-0.01000,2.42000,2.31000,2.32000,2.30000,-5792.00000
0.97000,1.40000,-0.01000,2.15000,2.26000,2.32000,2.31000,-13924.00000
0.97000,1.40000,-0.02000,1.78000,2.29000,2.32000,2.30000,-22084.00000
0.98000,1.40000,-0.02000,1.84000,2.09000,2.29000,2.25000,-30216.00000
0.98000,1.40000,-0.02000,2.31000,2.26000,2.28000,2.22000,27192.00000
0.99000,1.40000,-0.02000,2.45000,2.20000,2.28000,2.23000,19048.00000
0.99000,1.40000,-0.01000,2.45000,2.23000,2.30000,2.25000,10896.00000
1.00000,1.40000,-0.01000,2.34000,2.23000,2.31000,2.27000,2756.00000
1.00000,1.40000,-0.01000,2.29000,2.03000,2.31000,2.28000,-5340.00000
1.01000,1.40000,-0.01000,2.12000,2.12000,2.32000,2.31000,-13452.00000
1.01000,1.40000,-0.01000,2.17000,2.06000,2.32000,2.31000,-21560.00000
1.02000,1.40000,-0.00000,2.23000,2.03000,2.32000,2.31000,-29732.00000
1.02000,1.40000,-0.00000,2.29000,2.26000,2.33000,2.33000,27664.00000
1.03000,1.40000,0.01000,2.65000,2.23000,2.33000,2.33000,19516.00000
1.04000,1.40000,0.01000,2.65000,2.45000,2.29000,2.32000,11364.00000
1.04000,1.40000,0.01000,2.56000,2.51000,2.27000,2.31000,3208.00000
1.05000,1.40000,0.02000,2.59000,2.40000,2.27000,2.31000,-4924.00000
1.05000,1.40000,0.02000,2.51000,2.37000,2.25000,2.30000,-13024.00000
1.06000,1.40000,0.02000,2.23000,2.34000,2.23000,2.29000,-21188.00000
1.06000,1.40000,0.02000,2.20000,2.15000,2.24000,2.29000,-29368.00000
1.07000,1.40000,0.02000,2.12000,2.15000,2.24000,2.29000,28068.00000
1.07000,1.40000,0.01000,1.95000,2.09000,2.24000,2.29000,19904.00000
1.08000,1.40000,0.01000,2.20000,2.37000,2.25000,2.30000,11768.00000
1.08000,1.40000,0.00000,2.01000,2.40000,2.27000,2.31000,3632.00000
1.09000,1.40000,0.00000,2.23000,2.15000,2.31000,2.32000,-4456.00000
