,Wd,We,"theta(Wd,We)","x(Wd,We)","y(Wd,We)"
0.0,0.029825873514266587,0.016957042092504922,0.0007274881978492792,-0.08613492346033981,-0.016601000943762784
0.07,0.028974537266122362,0.016453806199178394,0.000607966284354487,-0.08494137954816347,-0.016557494640372712
0.14,0.028123201017978144,0.015950570305851876,0.0004932715599739615,-0.08374783563598713,-0.016513988336982643
0.21,0.027271864769833926,0.01544733441252535,0.0003833630558858125,-0.08255429172381079,-0.01647048203359257
0.28,0.0264205285216897,0.014944098519198824,0.00027819980326815075,-0.08136074781163444,-0.0164269757302025
0.35,0.025569192273545482,0.014440862625872304,0.00017774083329908546,-0.08016720389945811,-0.01638346942681243
0.42,0.024717856025401257,0.013937626732545776,8.194517715672748e-05,-0.07897365998728176,-0.016339963123422358
0.49,0.023866519777257032,0.013434390839219252,-9.228133980813742e-06,-0.07778011607510542,-0.01629645682003229
0.56,0.023015183529112818,0.012931154945892732,-9.582006893542754e-05,-0.07658657216292908,-0.016252950516642217
0.63,0.022163847280968593,0.012427919052566204,-0.00017787159652900392,-0.07539302825075274,-0.01620944421325215
0.7,0.021312511032824374,0.011924683159239682,-0.0002554236855834326,-0.07419948433857639,-0.016165937909862073
0.77,0.02046117478468015,0.011421447265913157,-0.0003285173049206038,-0.07300594042640005,-0.016122431606472008
0.84,0.019609838536535928,0.010918211372586634,-0.0003971934233624075,-0.0718123965142237,-0.016078925303081932
0.91,0.01875850228839171,0.01041497547926011,-0.00046149300973073314,-0.07061885260204737,-0.016035418999691867
0.98,0.01790716604024749,0.009911739585933589,-0.0005214570328474707,-0.06942530868987104,-0.01599191269630179
1.05,0.017055829792103266,0.009408503692607064,-0.0005771264615345106,-0.06823176477769469,-0.015948406392911722
1.12,0.016204493543959045,0.008905267799280539,-0.0006285422646137423,-0.06703822086551833,-0.01590490008952165
1.19,0.01535315729581482,0.008402031905954014,-0.0006757454109070555,-0.065844676953342,-0.01586139378613158
1.26,0.014501821047670603,0.00789879601262749,-0.0007187768692363402,-0.06465113304116567,-0.015817887482741506
1.33,0.013650484799526382,0.007395560119300967,-0.0007576776084234865,-0.06345758912898931,-0.01577438117935144
1.4,0.012799148551382165,0.006892324225974447,-0.0007924885972903843,-0.06226404521681299,-0.01573087487596137
1.47,0.011947812303237939,0.006389088332647918,-0.0008232508046589239,-0.061070501304636635,-0.015687368572571296
1.54,0.011096476055093717,0.005885852439321395,-0.0008500051993509935,-0.059876957392460295,-0.015643862269181227
1.61,0.010245139806949494,0.005382616545994868,-0.0008727927501884852,-0.05868341348028394,-0.015600355965791155
1.68,0.009393803558805277,0.004879380652668347,-0.0008916544259932866,-0.057489869568107616,-0.015556849662401085
1.75,0.008542467310661054,0.004376144759341822,-0.0009066311955872897,-0.05629632565593127,-0.015513343359011013
1.82,0.007691131062516831,0.0038729088660152972,-0.0009177640277923837,-0.05510278174375492,-0.015469837055620942
1.89,0.0068397948143726125,0.0033696729726887757,-0.0009250938914304569,-0.05390923783157859,-0.015426330752230872
1.96,0.005988458566228389,0.0028664370793622523,-0.0009286617553234016,-0.05271569391940226,-0.015382824448840801
2.03,0.0051371223180841676,0.0023632011860357273,-0.0009285085882931069,-0.0515221500072259,-0.015339318145450729
2.1,0.004285786069939946,0.001859965292709204,-0.0009246753591614621,-0.050328606095049556,-0.015295811842060658
2.17,0.003434449821795728,0.0013567293993826807,-0.0009172030367503574,-0.049135062182873224,-0.01525230553867059
2.24,0.0025831135736514993,0.0008534935060561522,-0.0009061325898816829,-0.04794151827069688,-0.015208799235280518
2.31,0.0017317773255072846,0.0003502576127296323,-0.0008915049873773278,-0.046747974358520544,-0.015165292931890447
2.38,0.0008804410773630665,-0.000152978280596891,-0.0008733611980591826,-0.045554430446344205,-0.015121786628500377
2.45,2.9104829218837974e-05,-0.0006562141739234178,-0.0008517421907491371,-0.04436088653416785,-0.015078280325110304
2.52,-0.0008222314189253836,-0.0011594500672499428,-0.0008266889342690808,-0.04316734262199151,-0.015034774021720234
2.59,-0.0016735676670696017,-0.0016626859605764644,-0.0007982423974409042,-0.04197379870981517,-0.014991267718330164
2.66,-0.002524903915213827,-0.0021659218539029895,-0.0007664435490864969,-0.04078025479763883,-0.014947761414940091
2.73,-0.0033762401633580415,-0.002669157747229511,-0.0007313333580277496,-0.0395867108854625,-0.014904255111550021
2.8,-0.004227576411502263,-0.0031723936405560343,-0.0006929527930865506,-0.03839316697328615,-0.01486074880815995
2.87,-0.005078912659646488,-0.003675629533882561,-0.0006513428230847908,-0.037199623061109806,-0.01481724250476988
2.94,-0.00593024890779071,-0.0041788654272090844,-0.00060654441684436,-0.036006079148933466,-0.014773736201379808
3.01,-0.006781585155934928,-0.004682101320535606,-0.000558598543187148,-0.034812535236757126,-0.014730229897989736
3.08,-0.0076329214040791495,-0.005185337213862131,-0.0005075461709350436,-0.03361899132458079,-0.014686723594599667
3.15,-0.008484257652223368,-0.005688573107188653,-0.000453428268909939,-0.032425447412404454,-0.014643217291209598
3.22,-0.009335593900367596,-0.006191809000515183,-0.00039628580593372234,-0.0312319035002281,-0.014599710987819526
3.29,-0.010186930148511814,-0.006695044893841703,-0.0003361597508282837,-0.030038359588051764,-0.014556204684429455
3.36,-0.011038266396656036,-0.007198280787168228,-0.0002730910724155133,-0.028844815675875417,-0.014512698381039383
3.43,-0.011889602644800257,-0.007701516680494753,-0.00020712073951730133,-0.027651271763699078,-0.014469192077649313
3.5,-0.01274093889294448,-0.008204752573821278,-0.00013828972095553696,-0.026457727851522738,-0.014425685774259242
3.57,-0.013592275141088697,-0.0087079884671478,-6.663898555211089e-05,-0.0252641839393464,-0.014382179470869172
3.64,-0.01444361138923292,-0.009211224360474326,7.790497871088942e-06,-0.02407064002717005,-0.0143386731674791
3.71,-0.015294947637377139,-0.009714460253800846,8.495776049216933e-05,-0.022877096114993712,-0.01429516686408903
3.78,-0.016146283885521362,-0.010217696147127371,0.00016482183348924317,-0.021683552202817372,-0.014251660560698959
3.85,-0.016997620133665584,-0.010720932040453898,0.0002473417480404203,-0.02049000829064103,-0.014208154257308887
