,Wd,We,"theta(Wd,We)","x(Wd,We)","y(Wd,We)",Wd_true,We_true
0.0,2.2262696659232803,2.2410897102796663,0.0030430185989968597,-0.0363433484426467,1.5001213653938297,0.09877633235575194,-0.7532133910679331
0.07,2.2269599436865324,2.2416227818172896,0.0032696192581752404,-0.030675482350916446,1.4998189764487713,0.1715227012199283,-0.5901820139801099
0.14,2.2276502214497853,2.242155853354913,0.0034927599672937076,-0.025007616259186193,1.4995165875037126,0.2442690700841046,-0.4271506368922869
0.21,2.2283404992130373,2.242688924892536,0.003712451068113588,-0.01933975016745594,1.4992141985586542,0.31701543894828094,-0.264119259804464
0.28,2.2290307769762894,2.243221996430159,0.003928702902396205,-0.013671884075725685,1.4989118096135958,0.3897618078124573,-0.10108788271664082
0.35,2.2297210547395423,2.2437550679677822,0.004141525811902887,-0.008004017983995432,1.4986094206685374,0.4625081766766337,0.061943494371182184
0.42,2.2304113325027943,2.2442881395054055,0.004350930138394959,-0.00233615189226518,1.4983070317234788,0.5352545455408099,0.22497487145900502
0.49,2.231101610266047,2.2448212110430292,0.004556926223633746,0.003331714199465062,1.4980046427784204,0.6080009144049863,0.38800624854682814
0.56,2.2317918880292997,2.2453542825806525,0.004759524409380573,0.008999580291195325,1.497702253833362,0.6807472832691627,0.5510376256346514
0.63,2.2324821657925518,2.245887354118276,0.004958735037396766,0.014667446382925574,1.4973998648883036,0.753493652133339,0.7140690027224742
0.7,2.2331724435558042,2.246420425655899,0.00515456844944365,0.02033531247465583,1.4970974759432452,0.8262400209975154,0.8771003798102972
0.77,2.2338627213190567,2.2469534971935223,0.0053470349872825505,0.026003178566386072,1.4967950869981865,0.8989863898616917,1.0401317568981203
0.84,2.234552999082309,2.247486568731145,0.005536144992674794,0.03167104465811633,1.4964926980531281,0.9717327587258678,1.2031631339859432
0.91,2.2352432768455617,2.2480196402687684,0.005721908807381706,0.037338910749846584,1.49619030910807,1.0444791275900445,1.3661945110737665
0.98,2.2359335546088137,2.248552711806392,0.005904336773164611,0.043006776841576826,1.4958879201630113,1.1172254964542205,1.5292258881615894
1.05,2.236623832372066,2.249085783344015,0.006083439231784837,0.048674642933307095,1.495585531217953,1.189971865318397,1.6922572652494128
1.12,2.2373141101353187,2.2496188548816383,0.006259226525003706,0.05434250902503735,1.4952831422728945,1.2627182341825733,1.855288642337236
1.19,2.238004387898571,2.2501519264192615,0.006431708994582548,0.06001037511676758,1.4949807533278359,1.3354646030467496,2.0183200194250586
1.26,2.238694665661823,2.250684997956885,0.006600896982282684,0.06567824120849786,1.4946783643827775,1.408210971910926,2.0404737820515257
1.33,2.239384943425076,2.2512180694945085,0.0067668008298654445,0.0713461073002281,1.4943759754377188,1.4809573407751024,2.062627544677993
1.4,2.240075221188328,2.2517511410321314,0.006929430879092151,0.07701397339195835,1.4940735864926604,1.5537037096392787,2.08478130730446
1.47,2.2407654989515806,2.2522842125697546,0.00708879747172413,0.0826818394836886,1.4937711975476022,1.626450078503455,2.1069350699309273
1.54,2.241455776714833,2.2528172841073784,0.0072449109495227055,0.08834970557541885,1.4934688086025436,1.6991964473676315,2.129088832557395
1.61,2.2421460544780856,2.253350355645001,0.007397781654249208,0.09401757166714912,1.4931664196574852,1.771942816231808,2.151242595183862
1.68,2.2428363322413376,2.2538834271826245,0.007547419927664956,0.09968543775887936,1.4928640307124266,1.844689185095984,2.1733963578103292
1.75,2.24352661000459,2.2544164987202477,0.0076938361115312815,0.10535330385060963,1.4925616417673682,1.9174355539601606,2.1955501204367964
1.82,2.2442168877678426,2.254949570257871,0.007837040547609508,0.11102116994233988,1.4922592528223098,1.990181922824337,2.2177038830632636
1.89,2.2449071655310946,2.2554826417954943,0.007977043577660959,0.1166890360340701,1.4919568638772511,2.0629282916885128,2.239857645689731
1.96,2.245597443294347,2.2560157133331176,0.008113855543446962,0.12235690212580036,1.4916544749321927,2.1356746605526893,2.262011408316198
2.03,2.2462877210575996,2.256548784870741,0.008247486786728842,0.12802476821753062,1.491352085987134,2.2084210294168654,2.284165170942665
2.1,2.246977998820852,2.257081856408364,0.008377947649267926,0.1336926343092609,1.4910496970420757,2.2811673982810423,2.3063189335691328
2.17,2.2476682765841045,2.257614927945987,0.008505248472825537,0.1393605004009911,1.4907473080970173,2.3539137671452184,2.3284726961955995
2.24,2.248358554347357,2.2581479994836107,0.008629399599163005,0.1450283664927214,1.4904449191519589,2.426660136009395,2.350626458822067
2.31,2.24904883211061,2.2586810710212344,0.008750411370041655,0.15069623258445164,1.4901425302069002,2.499406504873571,2.3727802214485343
2.38,2.249739109873862,2.259214142558857,0.008868294127222806,0.15636409867618184,1.4898401412618416,2.5721528737377475,2.3949339840750015
2.45,2.2504293876371144,2.259747214096481,0.008983058212467789,0.16203196476791212,1.4895377523167834,2.562837085090825,2.3847543094501793
2.52,2.251119665400367,2.2602802856341038,0.009094713967537924,0.16769983085964238,1.489235363371725,2.5535212964439027,2.3745746348253576
2.59,2.251809943163619,2.260813357171727,0.009203271734194548,0.17336769695137264,1.4889329744266666,2.5442055077969807,2.364394960200536
2.66,2.2525002209268714,2.2613464287093503,0.00930874185419897,0.1790355630431029,1.4886305854816082,2.5348897191500583,2.3542152855757137
2.73,2.253190498690124,2.2618795002469736,0.009411134669312532,0.18470342913483315,1.4883281965365498,2.5255739305031355,2.344035610950892
2.8,2.253880776453376,2.262412571784597,0.009510460521296551,0.1903712952265634,1.4880258075914914,2.516258141856213,2.3338559363260702
2.87,2.2545710542166284,2.26294564332222,0.00960672975191235,0.1960391613182937,1.4877234186464328,2.5069423532092907,2.323676261701248
2.94,2.255261331979881,2.2634787148598434,0.00969995270292127,0.2017070274100239,1.4874210297013741,2.4976265645623688,2.3134965870764264
3.01,2.2559516097431334,2.2640117863974663,0.009790139716084617,0.20737489350175414,1.4871186407563157,2.4883107759154464,2.3033169124516046
3.08,2.256641887506386,2.26454485793509,0.009877301133163725,0.2130427595934844,1.4868162518112573,2.478994987268524,2.2931372378267825
3.15,2.2573321652696383,2.2650779294727132,0.009961447295919919,0.21871062568521468,1.486513862866199,2.4696791986216016,2.2829575632019607
3.22,2.2580224430328903,2.265611001010336,0.010042588546114527,0.22437849177694494,1.4862114739211403,2.460363409974679,2.272777888577139
3.29,2.258712720796143,2.26614407254796,0.010120735225508869,0.23004635786867517,1.4859090849760817,2.451047621327757,2.262598213952317
3.36,2.2594029985593953,2.266677144085583,0.010195897675864277,0.23571422396040542,1.4856066960310232,2.441731832680835,2.252418539327495
3.43,2.260093276322648,2.2672102156232063,0.010268086238942075,0.24138209005213568,1.485304307085965,2.4324160440339124,2.242238864702673
3.5,2.2607835540859003,2.2677432871608296,0.010337311256503586,0.24704995614386596,1.4850019181409067,2.42310025538699,2.2320591900778513
3.57,2.2614738318491527,2.268276358698453,0.010403583070310135,0.2527178222355962,1.484699529195848,2.4137844667400676,2.2218795154530295
3.64,2.2621641096124048,2.2688094302360757,0.01046691202212305,0.25838568832732645,1.4843971402507896,2.4044686780931457,2.2286885176402285
3.71,2.2628543873756573,2.2693425017736994,0.010527308453703655,0.26405355441905665,1.484094751305731,2.395152889446223,2.2354975198274265
3.78,2.2635446651389097,2.2698755733113227,0.01058478270681328,0.2697214205107869,1.4837923623606726,2.385837100799301,2.2423065220146254
3.85,2.264234942902162,2.270408644848946,0.010639345123213245,0.2753892866025172,1.4834899734156142,2.3765213121523785,2.249115524201824
3.92,2.2649252206654147,2.2709417163865693,0.010691006044664875,0.2810571526942474,1.4831875844705555,2.367205523505456,2.2559245263890224
3.99,2.265615498428667,2.2714747879241926,0.0107397758129295,0.28672501878597767,1.4828851955254971,2.3578897348585337,2.262733528576221
4.06,2.266305776191919,2.272007859461816,0.010785664769768446,0.2923928848777079,1.4825828065804385,2.3485739462116118,2.2695425307634194
4.13,2.2669960539551717,2.272540930999439,0.010828683256943035,0.2980607509694382,1.48228041763538,2.3392581575646894,2.276351532950618
4.2,2.267686331718424,2.2730740025370624,0.010868841616214594,0.3037286170611685,1.481978028690322,2.329942368917767,2.283160535137817
4.27,2.2683766094816766,2.273607074074685,0.010906150189344445,0.30939648315289864,1.4816756397452635,2.3206265802708446,2.2899695373250153
4.34,2.269066887244929,2.2741401456123085,0.010940619318093921,0.3150643492446289,1.4813732508002047,2.311310791623922,2.2967785395122142
4.41,2.2697571650081816,2.2746732171499318,0.010972259344224343,0.3207322153363592,1.4810708618551467,2.3019950029769998,2.3035875416994127
4.48,2.2704474427714336,2.275206288687555,0.011001080609497038,0.3264000814280895,1.4807684729100878,2.2926792143300774,2.310396543886611
4.55,2.271137720534686,2.2757393602251783,0.011027093455673324,0.3320679475198197,1.4804660839650297,2.283363425683155,2.3172055460738097
4.62,2.2718279982979386,2.2762724317628016,0.011050308224514539,0.33773581361155,1.4801636950199712,2.2740476370362326,2.324014548261008
4.69,2.2725182760611906,2.276805503300425,0.011070735257782004,0.34340367970328023,1.4798613060749126,2.2647318483893106,2.330823550448207
4.76,2.2732085538244435,2.277338574838048,0.011088384897237045,0.34907154579501043,1.4795589171298542,2.2554160597423882,2.3376325526354056
4.83,2.2738988315876956,2.2778716463756714,0.01110326748464098,0.3547394118867407,1.4792565281847956,2.2563349295383097,2.337276784934062
4.9,2.274589109350948,2.2784047179132947,0.011115393361755144,0.36040727797847094,1.4789541392397372,2.257253799334231,2.3369210172327173
4.97,2.2752793871142005,2.2789377894509184,0.01112477287034086,0.3660751440702012,1.4786517502946788,2.2581726691301527,2.3365652495313736
5.04,2.275969664877453,2.2794708609885417,0.011131416352159447,0.37174301016193145,1.4783493613496204,2.259091538926074,2.33620948183003
5.11,2.2766599426407055,2.2800039325261645,0.011135334148972241,0.37741087625366176,1.4780469724045617,2.260010408721996,2.3358537141286857
5.18,2.277350220403958,2.2805370040637882,0.011136536602540562,0.38307874234539196,1.4777445834595033,2.2609292785179176,2.3354979464273415
5.25,2.2780404981672104,2.281070075601411,0.011135034054625736,0.3887466084371222,1.477442194514445,2.2618481483138386,2.335142178725998
5.32,2.278730775930463,2.2816031471390343,0.011130836846989092,0.3944144745288525,1.4771398055693865,2.26276701810976,2.3347864110246537
5.39,2.279421053693715,2.2821362186766576,0.011123955321391944,0.40008234062058273,1.476837416624328,2.2636858879056816,2.3344306433233095
5.46,2.280111331456967,2.2826692902142804,0.011114399819595633,0.405750206712313,1.4765350276792695,2.264604757701603,2.334074875621966
5.53,2.2808016092202195,2.2832023617519037,0.011102180683361475,0.41141807280404324,1.4762326387342108,2.2655236274975246,2.333719107920622
5.6,2.2814918869834724,2.2837354332895274,0.0110873082544508,0.4170859388957735,1.4759302497891524,2.2664424972934465,2.333363340219278
5.67,2.2821821647467244,2.2842685048271507,0.011069792874624933,0.4227538049875038,1.475627860844094,2.2673613670893675,2.333007572517934
5.74,2.282872442509977,2.284801576364774,0.011049644885645192,0.42842167107923407,1.4753254718990356,2.2682802368852895,2.33265180481659
5.81,2.2835627202732294,2.2853346479023973,0.011026874629272918,0.4340895371709642,1.4750230829539772,2.269199106681211,2.3322960371152464
