,"x(Wd,We)","y(Wd,We)","theta(Wd,We)",Wd,We
0.0,0.0,1.4,0.0,0.0,0.0
0.07,0.0,1.4,0.0,0.0,0.0
0.14,0.0,1.4,0.0,0.0,0.0
0.21,0.0,1.4,0.0,0.0,0.0
0.28,0.0,1.4,0.0,0.0,0.0
0.35,0.0,1.4,0.0,0.03,0.0
0.42,0.0,1.4,0.0,0.03,0.0
0.49,0.0,1.4,0.01,0.45,0.0
0.56,0.0,1.4,0.02,0.47,0.0
0.63,0.0,1.4,0.02,0.17,0.03
0.7,0.0,1.4,0.02,0.0,0.0
0.77,0.0,1.4,0.02,0.08,0.0
0.84,0.0,1.4,0.03,0.25,0.0
0.91,0.0,1.4,0.02,0.61,1.06
0.98,0.01,1.4,0.02,1.45,1.62
1.05,0.01,1.4,0.02,2.23,2.12
1.12,0.02,1.4,0.02,2.93,2.59
1.19,0.03,1.4,0.03,2.87,2.76
1.26,0.03,1.4,0.02,2.65,2.76
1.33,0.04,1.4,0.02,2.37,2.65
1.4,0.04,1.4,0.02,2.37,2.51
1.47,0.05,1.4,0.01,2.09,2.23
1.54,0.05,1.4,0.02,2.09,1.98
1.61,0.06,1.4,0.02,2.17,1.92
1.68,0.06,1.4,0.02,1.98,2.01
1.75,0.07,1.4,0.02,2.17,2.12
1.82,0.07,1.4,0.02,1.98,2.17
1.89,0.08,1.4,0.02,2.23,2.2
1.96,0.08,1.4,0.02,2.29,2.34
2.03,0.09,1.4,0.02,2.2,2.31
2.1,0.1,1.4,0.01,2.31,2.42
2.17,0.1,1.4,0.01,2.23,2.4
2.24,0.11,1.4,0.01,2.37,2.31
2.31,0.11,1.4,0.01,2.51,2.37
2.38,0.12,1.4,0.01,2.4,2.54
2.45,0.12,1.4,0.01,2.45,2.45
2.52,0.13,1.4,0.01,2.48,2.4
2.59,0.14,1.4,0.01,2.03,2.4
2.66,0.14,1.4,0.0,1.9,2.17
2.73,0.15,1.4,-0.01,1.92,2.2
2.8,0.15,1.4,-0.01,2.12,2.23
2.87,0.16,1.4,-0.0,2.37,2.2
2.94,0.16,1.4,-0.0,2.56,2.4
3.01,0.17,1.4,0.0,2.59,2.29
3.08,0.17,1.4,0.01,2.51,2.31
3.15,0.18,1.4,0.01,2.23,2.4
3.22,0.18,1.4,0.01,2.26,2.15
3.29,0.19,1.4,0.01,2.31,2.06
3.36,0.19,1.4,0.01,2.12,2.06
3.43,0.2,1.4,0.02,2.37,2.2
3.5,0.21,1.4,0.02,2.31,2.31
3.57,0.21,1.4,0.02,2.45,2.29
3.64,0.22,1.4,0.02,2.54,2.37
3.71,0.22,1.4,0.02,2.31,2.37
3.78,0.23,1.4,0.02,2.29,2.34
3.85,0.23,1.4,0.02,2.42,2.31
3.92,0.24,1.4,0.02,2.12,2.2
3.99,0.24,1.4,0.02,2.06,2.23
4.06,0.25,1.4,0.01,2.12,2.45
4.13,0.25,1.4,0.01,2.03,2.37
4.2,0.26,1.4,0.01,2.31,2.29
4.27,0.27,1.4,0.0,2.17,2.26
4.34,0.27,1.4,0.01,2.29,2.12
4.41,0.28,1.4,0.01,2.37,2.12
4.48,0.28,1.4,0.01,2.2,2.23
4.55,0.29,1.4,0.01,2.2,2.12
4.62,0.29,1.4,0.01,2.09,2.34
4.69,0.3,1.4,0.01,2.03,2.17
4.76,0.3,1.4,0.0,2.17,2.31
4.83,0.31,1.4,-0.0,1.98,2.37
4.9,0.31,1.4,-0.0,2.45,2.34
4.97,0.32,1.4,-0.0,2.56,2.51
5.04,0.33,1.4,-0.0,2.68,2.76
5.11,0.33,1.4,0.0,2.81,2.62
5.18,0.34,1.4,0.0,2.7,2.56
5.25,0.34,1.4,-0.0,2.26,2.59
5.32,0.35,1.4,-0.01,1.87,2.37
5.39,0.35,1.4,-0.02,1.92,2.15
5.46,0.36,1.4,-0.02,2.2,2.26
5.53,0.36,1.4,-0.01,2.31,2.09
5.6,0.37,1.4,-0.01,2.45,2.26
5.67,0.38,1.4,-0.01,2.51,2.34
5.74,0.38,1.4,-0.0,2.48,2.17
5.81,0.39,1.4,-0.0,2.34,2.37
5.88,0.39,1.4,0.0,2.34,2.23
5.95,0.4,1.4,0.01,2.42,2.12
6.02,0.4,1.4,0.01,2.2,2.29
6.09,0.41,1.4,0.01,2.48,2.29
6.16,0.41,1.4,0.01,2.54,2.34
6.23,0.42,1.4,0.01,2.37,2.48
6.3,0.43,1.4,0.01,2.51,2.31
6.37,0.43,1.4,0.02,2.45,2.34
6.44,0.44,1.4,0.02,2.31,2.34
6.51,0.44,1.4,0.02,2.23,2.26
6.58,0.45,1.4,0.01,2.17,2.34
6.65,0.45,1.4,0.0,1.95,2.34
6.72,0.46,1.4,-0.0,2.17,2.45
6.79,0.46,1.4,-0.01,2.15,2.45
6.86,0.47,1.4,-0.01,2.4,2.37
6.93,0.48,1.4,0.0,2.48,2.06
7.0,0.48,1.4,0.01,2.34,2.15
7.07,0.49,1.4,0.01,2.28,2.15
7.14,0.49,1.4,0.01,2.15,2.29
7.21,0.5,1.4,0.0,2.06,2.34
7.28,0.5,1.4,0.0,2.31,2.26
7.35,0.51,1.4,-0.0,2.26,2.4
7.42,0.51,1.4,-0.0,2.29,2.43
7.49,0.52,1.4,0.0,2.51,2.29
7.56,0.52,1.4,-0.0,2.45,2.51
7.63,0.53,1.4,-0.0,2.4,2.48
7.7,0.54,1.4,-0.0,2.42,2.48
7.77,0.54,1.4,-0.0,2.42,2.51
7.84,0.55,1.4,-0.01,2.34,2.4
7.91,0.55,1.4,-0.01,2.2,2.26
7.98,0.56,1.4,-0.02,1.87,2.4
8.05,0.56,1.4,-0.02,2.12,2.29
8.12,0.57,1.4,-0.02,2.17,2.34
8.19,0.57,1.4,-0.02,2.45,2.4
8.26,0.58,1.4,-0.02,2.45,2.23
8.33,0.59,1.4,-0.02,2.34,2.2
8.4,0.59,1.4,-0.01,2.15,2.06
8.47,0.6,1.4,-0.01,2.03,1.95
8.54,0.6,1.4,-0.01,2.12,2.09
8.61,0.61,1.4,-0.01,2.29,2.01
8.68,0.61,1.4,-0.0,2.34,2.26
8.75,0.62,1.4,-0.0,2.54,2.37
8.82,0.62,1.4,0.0,2.7,2.48
8.89,0.63,1.4,0.0,2.59,2.54
8.96,0.64,1.4,0.01,2.59,2.51
9.03,0.64,1.4,0.01,2.56,2.4
9.1,0.65,1.4,0.01,2.37,2.4
9.17,0.65,1.4,0.0,2.12,2.29
9.24,0.66,1.4,0.0,2.2,2.37
