X,Y,Theta,Setpoint VD,Setpoint VE,VD,VE,tempo
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,4504.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,-3172.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,-10844.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,-18572.00000
0.00000,0.00000,-0.00000,0.00000,0.03000,2.33000,2.33000,-26300.00000
0.00000,0.00000,-0.00000,0.00000,0.00000,2.33000,2.33000,31412.00000
0.00000,0.00000,-0.00000,0.00000,0.00000,2.33000,2.33000,23620.00000
0.00000,-0.00000,0.00000,0.03000,0.00000,2.33000,2.33000,15840.00000
0.00000,-0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,7932.00000
0.00000,-0.00000,0.00000,0.03000,0.00000,2.33000,2.33000,240.00000
0.00000,0.00000,0.00000,0.03000,0.00000,2.33000,2.33000,-7492.00000
0.00000,0.00000,0.01000,0.70000,0.03000,2.33000,2.33000,-15356.00000
0.00000,0.00000,0.04000,1.20000,0.00000,2.27000,2.30000,-23376.00000
0.01000,0.00000,0.06000,2.01000,0.72000,2.14000,2.23000,-31324.00000
0.01000,0.00000,0.07000,2.20000,1.84000,1.95000,2.11000,26136.00000
0.02000,0.00000,0.07000,2.26000,2.34000,1.89000,2.06000,18012.00000
0.02000,0.00000,0.06000,2.06000,2.56000,1.90000,2.07000,9896.00000
0.03000,0.00000,0.05000,2.12000,2.62000,1.98000,2.13000,1852.00000
0.03000,0.00000,0.05000,2.09000,2.20000,2.06000,2.18000,-6244.00000
0.04000,0.00000,0.05000,2.17000,2.20000,2.07000,2.19000,-14312.00000
0.04000,0.00000,0.05000,2.17000,2.15000,2.07000,2.19000,-22436.00000
0.05000,0.00000,0.05000,2.40000,1.98000,2.07000,2.19000,-30556.00000
0.05000,0.00000,0.05000,2.45000,2.43000,2.01000,2.15000,26864.00000
0.06000,0.00000,0.05000,2.37000,2.65000,2.00000,2.14000,18736.00000
0.07000,0.00000,0.05000,2.51000,2.65000,2.04000,2.17000,10624.00000
0.07000,0.00000,0.04000,2.37000,2.51000,2.06000,2.18000,2464.00000
0.08000,0.00000,0.04000,2.51000,2.68000,2.08000,2.20000,-5612.00000
0.08000,0.00000,0.04000,2.09000,2.37000,2.10000,2.21000,-13676.00000
0.09000,0.00000,0.02000,1.84000,2.43000,2.14000,2.23000,-21832.00000
0.09000,0.00000,0.02000,2.12000,2.40000,2.20000,2.27000,-29920.00000
0.10000,0.00000,0.01000,2.15000,2.34000,2.23000,2.29000,27488.00000
0.10000,0.00000,0.01000,2.34000,2.42000,2.25000,2.30000,19356.00000
0.11000,0.00000,0.01000,2.23000,2.40000,2.26000,2.30000,11244.00000
0.12000,0.00000,0.01000,2.23000,2.40000,2.28000,2.31000,3120.00000
0.12000,0.00000,0.00000,2.26000,2.34000,2.29000,2.32000,-5004.00000
0.13000,0.00000,0.00000,2.12000,2.31000,2.30000,2.32000,-13060.00000
0.13000,0.00000,0.00000,2.20000,2.09000,2.32000,2.32000,-21188.00000
0.14000,0.00000,0.00000,2.20000,2.23000,2.31000,2.32000,-29276.00000
0.14000,0.00000,0.00000,2.15000,2.26000,2.31000,2.32000,28104.00000
0.15000,0.00000,0.01000,2.51000,2.26000,2.32000,2.33000,19972.00000
0.15000,0.00000,0.01000,2.45000,2.34000,2.30000,2.32000,11816.00000
0.16000,0.00000,0.01000,2.43000,2.48000,2.29000,2.31000,3680.00000
0.17000,0.00000,0.01000,2.51000,2.54000,2.29000,2.32000,-4388.00000
0.17000,0.01000,0.00000,2.29000,2.42000,2.29000,2.32000,-12504.00000
0.18000,0.01000,0.00000,2.26000,2.43000,2.31000,2.32000,-20684.00000
0.18000,0.01000,0.00000,2.37000,2.29000,2.32000,2.33000,-28840.00000
0.19000,0.01000,-0.00000,2.09000,2.40000,2.31000,2.32000,28584.00000
0.19000,0.01000,-0.01000,2.03000,2.34000,2.33000,2.32000,20440.00000
0.20000,0.00000,-0.01000,2.17000,2.20000,2.32000,2.30000,12292.00000
0.20000,0.00000,-0.02000,2.06000,2.31000,2.32000,2.29000,4164.00000
0.21000,0.00000,-0.01000,2.29000,2.15000,2.31000,2.27000,-3892.00000
0.21000,0.00000,-0.01000,2.12000,2.09000,2.31000,2.28000,-12016.00000
0.22000,0.00000,-0.01000,2.23000,2.12000,2.31000,2.29000,-20160.00000
