,"x(Wd,We)","y(Wd,We)","theta(Wd,We)",Wd,We
0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.0,0.0
0.28,0.0,0.0,-0.0,0.0,0.03
0.35,0.0,0.0,-0.0,0.0,0.0
0.42,0.0,0.0,-0.0,0.0,0.0
0.49,0.0,-0.0,0.0,0.03,0.0
0.56,0.0,-0.0,0.0,0.0,0.0
0.63,0.0,-0.0,0.0,0.03,0.0
0.7,0.0,0.0,0.0,0.03,0.0
0.77,0.0,0.0,0.01,0.7,0.03
0.84,0.0,0.0,0.04,1.2,0.0
0.91,0.01,0.0,0.06,2.01,0.72
0.98,0.01,0.0,0.07,2.2,1.84
1.05,0.02,0.0,0.07,2.26,2.34
1.12,0.02,0.0,0.06,2.06,2.56
1.19,0.03,0.0,0.05,2.12,2.62
1.26,0.03,0.0,0.05,2.09,2.2
1.33,0.04,0.0,0.05,2.17,2.2
1.4,0.04,0.0,0.05,2.17,2.15
1.47,0.05,0.0,0.05,2.4,1.98
1.54,0.05,0.0,0.05,2.45,2.43
1.61,0.06,0.0,0.05,2.37,2.65
1.68,0.07,0.0,0.05,2.51,2.65
1.75,0.07,0.0,0.04,2.37,2.51
1.82,0.08,0.0,0.04,2.51,2.68
1.89,0.08,0.0,0.04,2.09,2.37
1.96,0.09,0.0,0.02,1.84,2.43
2.03,0.09,0.0,0.02,2.12,2.4
2.1,0.1,0.0,0.01,2.15,2.34
2.17,0.1,0.0,0.01,2.34,2.42
2.24,0.11,0.0,0.01,2.23,2.4
2.31,0.12,0.0,0.01,2.23,2.4
2.38,0.12,0.0,0.0,2.26,2.34
2.45,0.13,0.0,0.0,2.12,2.31
2.52,0.13,0.0,0.0,2.2,2.09
2.59,0.14,0.0,0.0,2.2,2.23
2.66,0.14,0.0,0.0,2.15,2.26
2.73,0.15,0.0,0.01,2.51,2.26
2.8,0.15,0.0,0.01,2.45,2.34
2.87,0.16,0.0,0.01,2.43,2.48
2.94,0.17,0.0,0.01,2.51,2.54
3.01,0.17,0.01,0.0,2.29,2.42
3.08,0.18,0.01,0.0,2.26,2.43
3.15,0.18,0.01,0.0,2.37,2.29
3.22,0.19,0.01,-0.0,2.09,2.4
3.29,0.19,0.01,-0.01,2.03,2.34
3.36,0.2,0.0,-0.01,2.17,2.2
3.43,0.2,0.0,-0.02,2.06,2.31
