X,Y,Theta,Setpoint VD,Setpoint VE,VD,VE,tempo
0.00000,0.70000,0.00000,0.00000,0.00000,0.00000,0.00000,4500.00000
0.00000,0.70000,0.00000,0.00000,0.00000,2.33000,2.33000,-3140.00000
0.00000,0.70000,0.00000,0.00000,0.00000,2.33000,2.33000,-10828.00000
0.00000,0.70000,0.00000,0.03000,0.00000,2.33000,2.33000,-18560.00000
0.00000,0.70000,0.00000,0.00000,0.00000,2.33000,2.33000,-26408.00000
0.00000,0.70000,0.00000,0.00000,0.00000,2.33000,2.33000,31340.00000
0.00000,0.70000,0.00000,0.00000,0.00000,2.33000,2.33000,23544.00000
0.00000,0.70000,0.00000,0.03000,0.00000,2.33000,2.33000,15752.00000
0.00000,0.70000,0.00000,0.00000,0.00000,2.33000,2.33000,7828.00000
0.00000,0.70000,0.00000,0.03000,0.00000,2.33000,2.33000,88.00000
0.00000,0.70000,0.02000,0.92000,0.00000,2.32000,2.33000,-7680.00000
0.00000,0.70000,0.04000,1.25000,0.00000,2.24000,2.29000,-15608.00000
0.00000,0.70000,0.07000,1.53000,0.00000,2.09000,2.20000,-23616.00000
0.01000,0.70000,0.10000,1.34000,0.03000,1.85000,2.03000,-31588.00000
0.01000,0.70000,0.13000,1.51000,0.03000,1.59000,1.84000,25884.00000
0.01000,0.70000,0.12000,1.00000,1.14000,1.22000,1.57000,17800.00000
0.01000,0.70000,0.11000,1.17000,1.81000,1.26000,1.59000,9760.00000
0.02000,0.70000,0.11000,2.09000,1.98000,1.42000,1.71000,1696.00000
0.02000,0.70000,0.11000,2.03000,2.03000,1.38000,1.68000,-6380.00000
0.03000,0.70000,0.11000,2.01000,2.23000,1.37000,1.67000,-14436.00000
0.03000,0.70000,0.10000,1.64000,2.15000,1.42000,1.71000,-22568.00000
0.04000,0.70000,0.09000,1.56000,1.95000,1.53000,1.79000,-30704.00000
0.04000,0.70000,0.08000,1.23000,1.78000,1.61000,1.85000,26720.00000
0.04000,0.70000,0.08000,1.59000,1.48000,1.73000,1.94000,18636.00000
0.05000,0.70000,0.07000,1.14000,1.84000,1.70000,1.92000,10544.00000
0.05000,0.70000,0.06000,1.39000,1.92000,1.83000,2.02000,2464.00000
0.06000,0.71000,0.04000,1.62000,2.48000,1.92000,2.08000,-5612.00000
0.06000,0.71000,0.03000,1.56000,2.48000,2.05000,2.18000,-13664.00000
0.07000,0.71000,0.02000,2.12000,2.62000,2.17000,2.25000,-21824.00000
0.07000,0.71000,0.01000,2.03000,2.48000,2.22000,2.28000,-29948.00000
0.08000,0.71000,0.00000,2.17000,2.37000,2.27000,2.30000,27412.00000
0.08000,0.71000,0.00000,2.26000,2.23000,2.29000,2.31000,19288.00000
0.09000,0.71000,-0.00000,2.06000,2.34000,2.28000,2.31000,11136.00000
0.09000,0.71000,-0.00000,2.17000,2.34000,2.31000,2.32000,3012.00000
0.10000,0.71000,-0.01000,2.09000,2.34000,2.32000,2.33000,-5096.00000
0.11000,0.71000,-0.01000,2.34000,2.51000,2.33000,2.32000,-13216.00000
0.11000,0.71000,-0.02000,2.29000,2.51000,2.32000,2.30000,-21400.00000
0.12000,0.71000,-0.02000,2.15000,2.40000,2.31000,2.28000,-29556.00000
0.12000,0.71000,-0.02000,2.37000,2.54000,2.30000,2.26000,27800.00000
0.13000,0.71000,-0.03000,2.23000,2.34000,2.29000,2.24000,19652.00000
0.13000,0.71000,-0.03000,2.45000,2.51000,2.29000,2.23000,11464.00000
0.14000,0.70000,-0.03000,2.42000,2.37000,2.28000,2.22000,3312.00000
0.14000,0.70000,-0.03000,2.31000,2.37000,2.29000,2.23000,-4828.00000
0.15000,0.70000,-0.03000,2.29000,2.37000,2.28000,2.22000,-12972.00000
0.16000,0.70000,-0.03000,2.17000,2.43000,2.28000,2.21000,-21116.00000
0.16000,0.70000,-0.04000,1.70000,2.09000,2.26000,2.18000,-29256.00000
0.17000,0.70000,-0.05000,2.01000,2.20000,2.23000,2.14000,28128.00000
0.17000,0.70000,-0.05000,2.09000,2.12000,2.22000,2.11000,20020.00000
0.18000,0.70000,-0.04000,2.54000,2.09000,2.21000,2.11000,11856.00000
0.18000,0.70000,-0.03000,2.51000,2.20000,2.25000,2.16000,3700.00000
0.19000,0.70000,-0.03000,2.42000,2.15000,2.27000,2.19000,-4400.00000
0.19000,0.70000,-0.02000,2.40000,2.29000,2.28000,2.22000,-12528.00000
0.20000,0.70000,-0.02000,2.23000,2.17000,2.29000,2.23000,-20656.00000
0.20000,0.70000,-0.02000,2.20000,2.09000,2.29000,2.24000,-28804.00000
0.21000,0.70000,-0.02000,2.23000,2.06000,2.30000,2.25000,28596.00000
0.21000,0.70000,-0.01000,2.26000,2.06000,2.30000,2.27000,20476.00000
0.22000,0.70000,-0.01000,2.37000,2.17000,2.31000,2.28000,12288.00000
0.22000,0.70000,-0.01000,2.37000,2.23000,2.32000,2.30000,4188.00000
0.23000,0.70000,-0.00000,2.51000,2.31000,2.32000,2.31000,-3924.00000
